COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,SERIAL DATE,1=Black Kite // 2=Lesser Nighthawk
kite,42.5,1.6,6/14/12,166,1
kite,42.6,1.5,8/29/09,242,1
kite,42.5,1.5,6/20/79,172,1
kite,24.2,54.7,12/30/03,365,1
kite,24.5,54.6,9/22/11,266,1
kite,24.1,55.6,11/12/12,317,1
kite,25.2,55.4,2/6/12,36,1
kite,25.2,55.3,2/7/12,37,1
kite,25.2,55.3,2/7/12,37,1
kite,25.5,55.6,4/20/03,111,1
kite,35.0,69.3,4/4/09,95,1
kite,41.0,19.5,5/27/96,149,1
kite,47.7,16.7,5/19/12,141,1
kite,48.3,16.9,5/15/84,137,1
kite,48.3,16.9,5/13/87,135,1
kite,47.3,12.8,10/12/92,286,1
kite,47.2,11.4,7/17/60,200,1
kite,47.4,9.7,6/24/08,176,1
kite,-35.2,150.7,9/26/10,270,1
kite,-30.7,143.6,5/16/76,138,1
kite,-35.0,144.9,2/26/83,56,1
kite,-31.3,149.0,11/8/86,313,1
kite,-30.0,148.1,4/11/96,102,1
kite,-32.3,148.6,4/14/96,105,1
kite,-35.6,145.2,1/1/98,1,1
kite,-35.6,145.2,1/1/98,1,1
kite,-32.3,142.5,12/18/99,353,1
kite,-32.0,148.0,12/16/99,351,1
kite,-35.3,144.9,1/23/00,23,1
kite,-35.5,144.9,1/23/00,23,1
kite,-30.1,145.9,10/1/01,275,1
kite,-30.1,145.9,10/1/01,275,1
kite,-34.3,148.0,1/3/02,3,1
kite,-35.5,145.0,10/28/02,302,1
kite,-35.5,145.0,10/28/02,302,1
kite,-35.5,144.9,11/1/02,306,1
kite,-34.7,146.6,12/6/02,341,1
kite,-30.8,141.8,10/10/03,284,1
kite,-29.2,141.3,10/9/03,283,1
kite,-29.1,141.2,10/10/03,284,1
kite,-32.0,141.5,11/30/03,335,1
kite,-35.5,145.0,11/8/03,313,1
kite,-35.5,145.0,11/8/03,313,1
kite,-32.0,141.5,12/1/03,336,1
kite,-35.5,145.0,9/15/04,259,1
kite,-34.8,146.5,9/28/04,272,1
kite,-34.3,146.1,9/18/04,262,1
kite,-34.3,146.1,9/19/04,263,1
kite,-35.5,145.0,9/16/04,260,1
kite,-34.8,146.6,9/27/04,271,1
kite,-33.3,146.4,9/8/04,252,1
kite,-37.1,149.3,7/25/05,208,1
kite,-33.1,150.4,7/26/05,209,1
kite,-28.6,153.6,8/11/05,224,1
kite,-34.5,144.8,9/30/07,274,1
kite,-36.0,147.0,4/2/08,93,1
kite,-29.1,141.8,4/19/08,110,1
kite,-30.4,146.4,6/14/08,166,1
kite,-29.4,142.0,7/12/08,195,1
kite,-31.9,141.5,7/11/08,194,1
kite,-31.6,143.4,7/2/08,185,1
kite,-30.9,144.4,7/2/08,185,1
