COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE
sandpiper	25.4	55.6	8/3/12	216
sandpiper	24.2	54.6	9/24/92	268
sandpiper	24.2	54.6	9/22/92	266
sandpiper	24.2	54.6	10/9/92	283
sandpiper	24.2	54.6	2/19/93	49
sandpiper	24.2	54.6	2/12/93	42
sandpiper	24.2	54.6	3/26/93	87
sandpiper	24.3	54.6	4/28/93	119
sandpiper	24.2	54.6	4/16/93	107
sandpiper	24.2	54.6	4/1/93	92
sandpiper	24.2	54.6	4/5/93	96
sandpiper	24.3	54.6	5/5/93	127
sandpiper	24.2	54.6	9/9/93	253
sandpiper	24.2	54.6	9/17/93	261
sandpiper	24.4	54.4	9/11/93	255
sandpiper	24.2	54.6	10/31/93	305
sandpiper	24.2	54.6	10/14/93	288
sandpiper	24.2	54.6	10/24/93	298
sandpiper	24.2	54.6	10/8/93	282
sandpiper	24.2	54.6	11/19/93	324
sandpiper	24.2	54.6	11/3/93	308
sandpiper	24.2	54.6	12/28/93	363
sandpiper	24.2	54.6	12/23/93	358
sandpiper	24.2	54.6	12/2/93	337
sandpiper	24.2	54.6	1/10/94	10
sandpiper	24.1	55.7	2/2/94	32
sandpiper	24.4	54.4	9/16/94	260
sandpiper	24.2	54.7	9/18/94	262
sandpiper	24.2	55.6	9/29/94	273
sandpiper	24.3	54.6	2/28/95	58
sandpiper	24.3	54.6	2/24/95	54
sandpiper	24.3	54.6	3/24/95	85
sandpiper	24.2	54.6	4/27/95	118
sandpiper	24.3	54.6	5/7/95	129
sandpiper	24.2	54.7	8/31/95	244
sandpiper	24.4	54.4	9/23/95	267
sandpiper	24.2	54.7	9/22/95	266
sandpiper	24.1	52.7	9/1/95	245
sandpiper	24.4	54.4	10/26/95	300
sandpiper	24.2	54.7	10/6/95	280
sandpiper	24.3	54.6	12/21/95	356
sandpiper	24.2	51.7	5/3/96	125
sandpiper	24.3	51.6	5/3/96	125
sandpiper	24.1	52.7	5/2/96	124
sandpiper	24.3	54.6	10/31/96	305
sandpiper	24.3	54.6	10/4/96	278
sandpiper	24.3	54.6	10/24/96	298
sandpiper	24.3	54.6	11/26/96	331
sandpiper	24.1	55.7	11/29/96	334
sandpiper	24.3	54.6	11/21/96	326
sandpiper	24.3	54.6	11/29/96	334
sandpiper	24.3	54.6	11/14/96	319
sandpiper	24.3	54.6	12/19/96	354
sandpiper	24.3	54.6	12/6/96	341
sandpiper	24.3	54.6	12/26/96	361
sandpiper	24.3	54.6	1/16/97	16
sandpiper	24.4	54.5	3/12/97	73
sandpiper	24.4	54.5	3/26/97	87
sandpiper	24.3	54.6	4/24/97	115
sandpiper	24.3	54.6	11/21/97	326
sandpiper	24.3	54.6	2/6/98	36
sandpiper	24.2	54.7	3/26/98	87
sandpiper	24.2	54.7	4/29/98	120
sandpiper	24.3	54.6	4/3/98	94
sandpiper	24.3	54.6	4/24/98	115
sandpiper	24.1	52.7	4/10/98	101
sandpiper	24.2	54.7	9/10/98	254
sandpiper	24.4	54.5	10/9/98	283
sandpiper	24.3	54.6	11/27/98	332
sandpiper	24.3	54.6	12/18/98	353
sandpiper	24.3	54.6	12/24/98	359
sandpiper	24.2	54.7	4/22/99	113
sandpiper	24.3	54.6	9/2/99	246
sandpiper	24.2	54.7	10/21/99	295
sandpiper	24.2	54.7	10/1/99	275
sandpiper	24.3	54.6	10/14/99	288
sandpiper	24.2	54.7	10/28/99	302
sandpiper	24.3	54.6	10/1/99	275
