COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE
galah	25.2	55.4	2/6/06	36
galah	-35.3	149.1	12/19/90	354
galah	-35.3	149.1	12/20/90	355
galah	-35.5	148.9	9/29/96	273
galah	-35.3	149.1	9/29/96	273
galah	-35.3	149.1	10/1/96	275
galah	-35.3	149.1	10/2/96	276
galah	-35.3	149.1	10/3/96	277
galah	-35.3	149.1	4/10/99	101
galah	-35.3	149.2	1/28/00	28
galah	-35.3	149.1	1/16/00	16
galah	-35.3	149.1	4/4/00	95
galah	-35.3	149.1	11/20/00	325
galah	-35.3	149.2	10/1/01	275
galah	-35.3	149.2	12/20/01	355
galah	-35.3	149.2	12/13/01	348
galah	-35.3	149.2	12/20/01	355
galah	-35.3	149.2	1/8/02	8
galah	-35.3	149.2	2/2/02	32
galah	-35.2	149.2	3/18/02	79
galah	-35.2	149.1	3/9/02	70
galah	-35.3	149.2	4/5/02	96
galah	-35.3	149.1	5/31/02	153
galah	-35.2	149.2	5/26/02	148
galah	-35.3	149.1	6/5/02	157
galah	-35.3	149.2	6/22/02	174
galah	-35.3	149.1	7/24/02	207
galah	-35.3	149.2	8/31/02	244
galah	-35.3	149.1	9/24/02	268
galah	-35.3	149.2	9/29/02	273
galah	-35.3	149.2	9/9/02	253
galah	-35.3	149.2	9/21/02	265
galah	-35.3	149.2	9/28/02	272
galah	-35.3	149.2	10/11/02	285
galah	-35.3	149.2	10/12/02	286
galah	-35.3	149.2	10/8/02	282
galah	-35.2	149.2	10/5/02	279
galah	-35.2	149.2	10/6/02	280
galah	-35.2	149.2	10/13/02	287
galah	-35.3	149.2	10/11/02	285
galah	-35.3	149.2	10/24/02	298
galah	-35.3	149.2	10/28/02	302
galah	-35.3	149.2	10/5/02	279
galah	-35.3	149.2	10/6/02	280
galah	-35.3	149.2	10/8/02	282
galah	-35.2	149.2	11/28/02	333
galah	-35.2	149.1	11/19/02	324
galah	-35.3	149.2	11/2/02	307
galah	-35.3	149.2	11/16/02	321
galah	-35.2	149.2	12/24/02	359
galah	-35.2	149.2	12/13/02	348
galah	-35.3	149.2	12/16/02	351
galah	-35.3	149.2	12/20/02	355
galah	-35.3	149.2	12/2/02	337
galah	-35.3	149.2	1/1/03	1
galah	-35.2	149.1	1/9/03	9
galah	-35.3	149.1	1/25/03	25
galah	-35.3	149.2	1/7/03	7
galah	-35.3	149.2	3/22/03	83
galah	-35.2	149.2	3/23/03	84
galah	-35.3	149.2	3/6/03	67
galah	-35.5	149.1	4/12/03	103
galah	-35.3	149.2	4/5/03	96
galah	-35.3	149.2	5/10/03	132
galah	-35.3	149.2	5/10/03	132
galah	-35.3	149.2	5/31/03	153
galah	-35.3	149.1	6/18/03	170
galah	-35.3	149.2	6/29/03	181
galah	-35.3	149.2	6/15/03	167
galah	-35.3	149.2	7/4/03	187
galah	-35.3	149.1	7/3/03	186
galah	-35.3	149.2	7/12/03	195
galah	-35.2	149.2	7/27/03	210
galah	-35.3	149.2	8/16/03	229
galah	-35.3	149.2	8/23/03	236
galah	-35.3	149.1	8/7/03	220
galah	-35.3	149.1	8/8/03	221
