COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE	
tern	57.5	-78.6	8/16/44	229	2
tern	57.5	-79.1	8/17/44	230	2
tern	57.1	-170.3	8/26/49	239	2
tern	58.8	-93.9	6/10/56	162	2
tern	58.8	-93.9	6/18/56	170	2
tern	51.1	-100	6/3/57	155	2
tern	42.1	-70.2	7/12/59	195	2
tern	56.4	-5.5	5/28/61	150	2
tern	48	-65.3	8/19/61	232	2
tern	57.2	-170.3	9/12/61	256	2
tern	44.5	-67.1	8/3/62	216	2
tern	41.8	-69.9	7/29/63	212	2
tern	44.5	-67.1	7/20/64	203	2
tern	46.7	-60.4	7/25/64	208	2
tern	50.6	-3.4	9/4/64	248	2
tern	69.1	-105	6/29/65	181	2
tern	69.1	-105	6/30/65	182	2
tern	69.1	-105	7/1/65	184	2
tern	44	-69.4	7/1/65	184	2
tern	42	-70.7	7/3/65	186	2
tern	69.1	-105	7/10/65	193	2
tern	69.1	-105	7/16/65	199	2
tern	52.8	173.1	8/15/65	228	2
tern	69.1	-105.3	7/18/66	201	2
tern	69.2	-106	7/25/66	208	2
tern	69.2	-106	8/22/66	235	2
tern	44.6	-63.5	8/28/66	241	2
tern	46.7	-60.4	6/9/67	161	2
tern	74.7	-94.8	6/15/67	167	2
tern	55.6	-1.7	6/19/67	171	2
tern	83	-70.5	7/6/67	189	2
tern	41.7	-70	8/8/67	221	2
tern	41.7	-70	8/13/67	226	2
tern	54.4	10.3	5/1/68	123	2
tern	54.4	10.3	5/1/68	123	2
tern	60.4	-137.1	5/12/68	134	2
tern	46.2	-59.9	5/25/68	147	2
tern	46.6	-60.4	5/25/68	147	2
tern	55	8.4	6/15/68	167	2
tern	58.9	-136.1	9/6/68	250	2
tern	60.5	-145.9	5/10/69	132	2
tern	61.1	-146.3	5/10/69	132	2
tern	58.4	-134.6	6/25/69	177	2
tern	52.3	-0.9	4/22/70	113	2
tern	60.4	-145.7	5/2/70	124	2
tern	58.2	-134.6	6/6/70	158	2
tern	58.6	-155.1	6/30/70	182	2
tern	58.6	-155.1	7/1/70	184	2
tern	58.6	-155.1	7/2/70	185	2
tern	58.6	-155.1	7/3/70	186	2
tern	58.6	-155.1	7/4/70	187	2
tern	58.6	-155.1	7/5/70	188	2
tern	41.6	-70	8/1/70	214	2
tern	43.8	-68.9	8/8/70	221	2
tern	49.1	-66.7	8/13/70	226	2
tern	73.7	-80.3	8/26/70	239	2
tern	75.7	-98.4	9/11/70	255	2
tern	32.8	-118.7	9/12/70	256	2
tern	75.7	-98.4	9/16/70	260	2
tern	68.5	-135.8	6/18/71	170	2
tern	58.4	-134.5	6/29/71	181	2
tern	60.5	-149.5	7/2/71	185	2
