COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE	1=Atlantic // 2=Horned // 3=Tufted
puffin	57.1	-170.4	8/12/40	225	2
puffin	57.1	-170.4	8/12/40	225	3
puffin	57.2	-170.3	7/14/48	197	3
puffin	57.2	-169.9	7/2/49	185	3
puffin	43.6	-73	12/8/60	343	1
puffin	43.6	-73	12/9/60	344	1
puffin	68.1	-165.8	7/7/61	190	2
puffin	50.3	-5.3	6/1/62	153	1
puffin	51.2	-4.7	7/15/62	198	1
puffin	44.5	-67.1	8/3/62	216	1
puffin	47.3	-52.8	8/8/62	221	1
puffin	52	-5.1	5/12/64	134	1
puffin	44.5	-67.1	7/20/64	203	1
puffin	56.6	-169.6	7/30/64	213	2
puffin	56.6	-169.6	8/15/64	228	3
puffin	49.9	-6.3	5/6/65	128	1
puffin	57.8	-8.6	7/31/65	214	1
puffin	52.8	173.1	8/15/65	228	2
puffin	56.6	-169.6	6/4/66	156	3
puffin	46.4	-60.4	7/9/66	192	1
puffin	46.4	-60.4	7/9/66	192	1
puffin	58.4	-154	7/3/67	186	2
puffin	58.3	-154	7/3/67	186	2
puffin	58.3	-154.1	7/4/67	187	2
puffin	58.3	-154.2	7/4/67	187	2
puffin	49.1	-125.8	8/11/68	224	3
puffin	48.2	-124.7	9/6/68	250	3
puffin	45.5	-124	6/11/69	163	3
puffin	45.2	-124	6/11/69	163	3
puffin	45.5	-124	6/11/69	163	3
puffin	43.1	-124.4	6/12/69	164	3
puffin	48.6	-123.3	7/5/69	188	3
puffin	44.7	-124.1	7/10/69	193	3
puffin	42.1	-124.3	7/28/69	211	3
puffin	49.2	-126	8/21/69	234	3
puffin	49.2	-126.1	8/21/69	234	3
puffin	49.2	-126.1	8/22/69	235	3
puffin	49.2	-126	8/22/69	235	3
puffin	49.1	-125.8	8/23/69	236	3
puffin	49	-126.1	9/13/69	257	3
puffin	45.9	-124	4/6/70	97	3
puffin	51	-55.3	4/28/70	119	1
puffin	60.5	-146.1	5/8/70	130	3
puffin	41.1	-124.2	5/23/70	145	3
puffin	49.2	-126	8/1/70	214	3
puffin	49.2	-126.1	8/1/70	214	3
puffin	49.2	-126.1	8/2/70	215	3
puffin	49.2	-126	8/3/70	216	3
puffin	49.2	-126.1	8/3/70	216	3
puffin	43.8	-68.9	8/8/70	221	1
puffin	73.7	-80.3	8/26/70	239	1
puffin	54.2	-0.3	12/30/70	365	1
puffin	44.5	-124.8	2/21/71	51	3
puffin	58.8	-153.3	5/20/71	142	2
puffin	41.1	-124.2	5/20/71	142	3
puffin	58.6	-153.7	5/24/71	146	2
puffin	58.6	-153.7	5/24/71	146	3
puffin	48.9	-125.4	7/15/71	198	3
puffin	60.1	-152.6	8/12/71	225	2
puffin	48.8	-126.4	9/25/71	269	3
puffin	36.7	-122.1	10/3/71	277	3
puffin	36.7	-122.1	11/23/71	328	3
puffin	54.2	-0.3	12/5/71	340	1
puffin	46.9	-124.5	4/16/72	107	3
puffin	37.7	-123	4/23/72	114	3
puffin	55.9	-2.1	6/14/72	166	1
puffin	45.5	-124	6/17/72	169	3
puffin	70.5	30.6	6/28/72	180	1
puffin	50.6	-2	7/7/72	190	1
puffin	40.6	-124.8	10/1/72	275	3
puffin	36.7	-122.1	10/7/72	281	3
puffin	42.9	-70.6	11/12/72	317	1
puffin	44.7	-124.1	4/9/73	100	3
puffin	37.7	-123	4/22/73	113	3
puffin	37.7	-123	4/22/73	113	3
puffin	33.8	-119.3	5/20/73	142	2
puffin	44.6	-66.8	6/15/73	167	1
puffin	37.4	-122.4	6/17/73	169	3
puffin	37.5	-122.5	7/6/73	189	3
puffin	37.5	-122.5	7/6/73	189	3
puffin	44.5	-67	7/7/73	190	1
puffin	45.5	-124	7/11/73	194	3
puffin	44	-69.4	7/20/73	203	1
puffin	36.7	-122.1	10/6/73	280	3
puffin	54.2	-0.3	3/10/74	71	1
puffin	52.8	173.2	5/23/74	145	2
puffin	52.8	173.2	5/23/74	145	3
puffin	57.8	-152.4	5/26/74	148	2
puffin	57.8	-152.4	5/26/74	148	3
puffin	41.1	-124.2	5/27/74	149	3
puffin	56.7	-157.2	6/5/74	157	2
puffin	56.7	-157.2	6/5/74	157	3
puffin	56.8	-156.9	6/7/74	159	2
puffin	56.8	-156.9	6/7/74	159	3
puffin	47.7	-124.4	7/5/74	188	3
puffin	56.1	-2.8	7/23/74	206	1
puffin	56.1	-2.6	7/23/74	206	1
puffin	37.7	-122.9	10/14/74	288	3
puffin	38.1	-73.8	2/1/75	31	1
puffin	38.1	-73.8	2/2/75	32	1
puffin	38.1	-73.8	2/7/75	37	1
puffin	38.1	-73.8	2/9/75	39	1
puffin	38.1	-73.8	3/16/75	77	1
puffin	37.7	-123	4/6/75	97	3
puffin	38.2	-123.5	5/3/75	125	3
puffin	34.2	-119.4	5/29/75	151	2
puffin	34.2	-119.4	5/29/75	151	2
puffin	34.2	-119.4	5/29/75	151	3
puffin	34.2	-119.4	5/29/75	151	3
puffin	37.5	-122.5	7/5/75	188	3
puffin	44.5	-67.1	7/19/75	202	1
puffin	42.1	-124.3	7/27/75	210	2
puffin	44.7	-66.8	8/6/75	219	1
puffin	44.9	-124.1	8/22/75	235	3
puffin	38.1	-73.8	12/6/75	341	1
puffin	38.2	-74.3	2/1/76	31	1
puffin	38.3	-74.6	2/1/76	31	1
puffin	40.8	-124.6	5/8/76	130	3
puffin	46.8	-54.2	5/24/76	146	1
puffin	51.7	-5.3	5/29/76	151	1
puffin	46.9	-54.2	6/1/76	153	1
puffin	51.9	-5.3	7/8/76	191	1
puffin	59.9	-149.7	7/10/76	193	2
puffin	35.3	-120.9	7/17/76	200	3
puffin	43.1	-124.4	7/26/76	209	3
puffin	47	-56	7/31/76	214	1
puffin	47	-56	7/31/76	214	1
puffin	46.8	-56.1	7/31/76	214	1
puffin	47.1	-55.9	8/1/76	214	1
puffin	47	-56	8/1/76	214	1
puffin	44.5	-67.1	8/1/76	214	1
puffin	46.2	-63.7	8/13/76	226	1
puffin	44.9	-66.8	8/25/76	238	1
puffin	44.9	-66.8	8/25/76	238	1
puffin	41.8	-124.2	4/12/77	103	3
puffin	41.8	-124.2	4/13/77	104	3
puffin	37.7	-123	4/17/77	108	3
puffin	47.2	-52.8	5/21/77	143	1
puffin	44.2	-124.1	5/23/77	145	3
puffin	45.3	-124	5/24/77	146	3
puffin	59.6	-151.3	6/1/77	153	3
puffin	44.5	-67.1	6/5/77	157	1
puffin	44.5	-67.1	6/5/77	157	1
puffin	64.6	-163.7	6/5/77	157	2
puffin	44.5	-67.4	6/8/77	160	1
puffin	45.3	-124	6/11/77	163	2
puffin	49	-125.7	6/15/77	167	3
puffin	37.7	-123	6/19/77	171	3
puffin	44.7	-124.1	6/24/77	176	3
puffin	37.7	-123	6/25/77	177	3
puffin	45.2	-124	6/26/77	178	3
puffin	45.2	-124	6/27/77	179	3
puffin	48.4	-124.7	7/1/77	184	3
puffin	48.4	-124.7	7/2/77	185	2
puffin	59.6	-151.3	7/10/77	193	3
puffin	59.6	-151.3	7/10/77	193	3
puffin	38	-123	7/10/77	193	3
puffin	64.6	-163.7	7/21/77	204	3
puffin	45.9	-124	8/2/77	215	3
puffin	37.7	-123	8/26/77	239	3
puffin	37.7	-123	8/26/77	239	3
puffin	44.9	-124.6	8/27/77	240	3
puffin	36.7	-122.1	10/1/77	275	3
puffin	36.7	-122.1	10/1/77	275	3
puffin	36.7	-122.1	10/1/77	275	3
puffin	42.8	-70.3	10/2/77	276	1
puffin	36.7	-122.1	10/16/77	290	3
puffin	51.9	-176.7	11/25/77	330	3
puffin	46.2	-60.2	12/28/77	363	1
puffin	54.2	-0.3	1/3/78	3	1
puffin	38.2	-74.3	5/7/78	129	1
puffin	59.6	-149.6	5/16/78	138	2
puffin	44.5	-67.1	6/25/78	177	1
puffin	51.9	-176.7	6/25/78	177	2
puffin	44.5	-67.1	7/15/78	198	1
puffin	44.5	-67.1	8/2/78	215	1
puffin	43.8	-68.3	8/7/78	220	1
puffin	70.2	30.4	8/11/78	224	1
puffin	45.5	-124	8/18/78	231	3
puffin	48.1	-123	8/28/78	241	3
puffin	48.2	-69.3	10/6/78	280	1
puffin	54.2	-0.3	1/7/79	7	1
puffin	43.6	-68.4	1/28/79	28	1
puffin	44.9	-66	3/23/79	84	1
puffin	38	-123.5	3/24/79	85	3
puffin	44.7	-124.1	5/22/79	144	3
puffin	56.1	-2.6	6/1/79	153	1
puffin	43.8	-68.9	6/16/79	168	1
puffin	41.1	-124.1	6/17/79	169	3
puffin	44.5	-67.1	6/19/79	171	1
puffin	46.8	-54.2	6/29/79	181	1
puffin	48.7	-53.1	7/1/79	184	1
puffin	39.3	-123.8	7/7/79	190	3
puffin	46.4	-60.4	7/12/79	195	1
puffin	46.9	-124.2	7/19/79	202	3
puffin	46.8	-56.2	8/7/79	220	1
puffin	44	-68.1	8/11/79	224	1
puffin	44	-68.1	8/11/79	224	1
puffin	44.1	-68.3	8/14/79	227	1
puffin	44.7	-66.8	8/30/79	243	1
puffin	44.6	-66.8	9/1/79	245	1
puffin	46.9	-124.5	9/9/79	253	3
puffin	36.7	-122.1	9/29/79	273	3
puffin	42.3	-70.3	10/6/79	280	1
puffin	36.7	-122.1	10/6/79	280	3
puffin	54.2	-0.3	1/4/80	4	1
puffin	36.7	-122.1	1/26/80	26	3
puffin	36.7	-122.1	1/26/80	26	3
puffin	35.7	-122.7	3/8/80	69	2
puffin	35.7	-122.7	3/8/80	69	2
puffin	41.8	-124.2	4/20/80	111	3
puffin	44.7	-66.8	5/1/80	123	1
puffin	49.1	-125.9	5/16/80	138	2
puffin	52.9	173	5/18/80	140	3
puffin	58.9	9.6	5/25/80	147	1
puffin	52.9	173	5/26/80	148	2
puffin	52.9	173	5/30/80	152	2
puffin	52.9	173	5/30/80	152	3
puffin	63.8	-171.7	6/4/80	156	2
puffin	63.8	-171.7	6/4/80	156	3
puffin	63.8	-171.7	6/5/80	157	2
puffin	63.8	-171.7	6/5/80	157	3
puffin	63.8	-171.7	6/6/80	158	2
puffin	63.8	-171.7	6/6/80	158	3
puffin	57.2	-169.9	6/13/80	165	3
puffin	60	-149.4	6/14/80	166	2
puffin	60	-149.4	6/14/80	166	2
puffin	44.6	-66.8	6/20/80	172	1
puffin	44.5	-67.1	6/23/80	175	1
puffin	38.1	-122.9	6/25/80	177	3
puffin	44.5	-67	6/28/80	180	1
puffin	44.5	-67.1	6/28/80	180	1
puffin	62.4	5.6	6/30/80	182	1
puffin	58.7	-136.5	7/23/80	206	3
puffin	51.4	-56.9	7/31/80	214	1
puffin	46.5	-57.1	8/1/80	214	1
puffin	48.2	-69.3	8/2/80	215	1
puffin	51.3	-56.9	8/7/80	220	1
puffin	51.3	-56.9	8/7/80	220	1
puffin	44.5	-67.1	8/8/80	221	1
puffin	44	-68.1	8/10/80	223	1
puffin	48.7	-123.3	8/12/80	225	3
puffin	46.9	-124.5	9/8/80	252	3
puffin	48.2	-123.2	9/11/80	255	3
puffin	44.2	-66.4	10/1/80	275	1
puffin	44	-68.1	10/3/80	277	1
puffin	46.9	-124.5	10/5/80	279	3
puffin	41.8	-124.3	10/10/80	284	3
puffin	36.7	-122.1	10/11/80	285	3
puffin	36.8	-122	10/11/80	285	3
puffin	41.7	-83.4	11/17/80	322	1
puffin	47.3	-54	1/1/81	1	1
puffin	54.2	-0.3	1/28/81	28	1
puffin	58.8	5.5	4/14/81	105	1
puffin	41.1	-124.2	5/2/81	124	3
puffin	60.6	4.8	5/16/81	138	1
puffin	60.6	4.8	5/17/81	139	1
puffin	52.9	173	5/18/81	140	3
puffin	52.9	173	5/19/81	141	3
puffin	52.9	173	5/20/81	142	3
puffin	52.9	173	5/21/81	143	3
puffin	52.9	173	5/22/81	144	2
puffin	60.6	4.8	5/24/81	146	1
puffin	52.9	173	5/26/81	148	3
puffin	52.9	173	5/28/81	150	3
puffin	52.9	173	5/29/81	151	3
puffin	52.9	173	6/3/81	155	3
puffin	52.9	173	6/6/81	158	3
puffin	44.1	-124.1	6/6/81	158	3
puffin	54.3	-0.4	6/12/81	164	1
puffin	62.4	5.6	6/22/81	174	1
puffin	47.2	-52.8	6/25/81	177	1
puffin	47.3	-54	7/1/81	184	1
puffin	46.4	-60.4	7/7/81	190	1
puffin	46.9	-124.5	7/9/81	192	3
puffin	45.5	-124	7/18/81	201	3
puffin	50.8	-59	7/24/81	207	1
puffin	50.5	-59.5	7/24/81	207	1
puffin	51.4	-57.1	7/25/81	208	1
puffin	51.4	-57.1	7/26/81	209	1
puffin	51.3	-57	7/27/81	210	1
puffin	46.5	-60.6	7/27/81	210	1
puffin	51.4	-57.1	7/28/81	211	1
puffin	51.4	-57.1	7/29/81	212	1
puffin	51.3	-57	7/30/81	213	1
puffin	58.9	-136.1	7/30/81	213	3
puffin	51.4	-57.1	7/31/81	214	1
puffin	50.5	-59.5	8/1/81	214	1
puffin	43.1	-124.4	8/2/81	215	3
puffin	57.2	-170.3	8/9/81	222	2
puffin	57.2	-170.3	8/9/81	222	3
puffin	57.2	-170.3	8/11/81	224	2
puffin	57.2	-170.3	8/11/81	224	3
puffin	47	-124.2	8/14/81	227	3
puffin	50.9	-129.1	8/17/81	230	2
puffin	50.3	-64.1	8/19/81	232	1
puffin	44.1	-124.1	8/20/81	233	3
puffin	44.5	-67.1	8/23/81	236	1
puffin	44.5	-67.1	8/23/81	236	1
puffin	60.1	-149.4	8/25/81	238	3
puffin	44.7	-66.8	8/31/81	244	1
puffin	48.1	-69.2	9/12/81	256	1
puffin	60.1	-152.6	9/13/81	257	2
puffin	45.1	-66	9/29/81	273	1
puffin	43.8	-69.3	12/28/81	363	1
puffin	43.8	-69.3	12/29/81	364	1
puffin	54.2	-0.3	1/2/82	2	1
puffin	43.4	-70.4	3/19/82	80	1
puffin	49.9	-6.3	4/17/82	108	1
puffin	41.8	-124.3	4/20/82	111	3
puffin	58.3	-136	5/2/82	124	3
puffin	41.8	-124.3	5/2/82	124	3
puffin	60.6	4.8	5/22/82	144	1
puffin	62.4	-78.1	6/21/82	173	1
puffin	62.4	-78.1	6/22/82	174	1
puffin	62.4	-78.1	6/23/82	175	1
puffin	57.2	-170.3	6/26/82	178	3
puffin	41.1	-124.2	6/26/82	178	3
puffin	57.2	-170.3	6/27/82	179	2
puffin	57.2	-170.3	6/27/82	179	3
puffin	57.2	-170.3	6/28/82	180	2
puffin	57.2	-170.3	6/28/82	180	3
puffin	62.4	-78.1	6/29/82	181	1
puffin	57.2	-170.3	6/29/82	181	3
puffin	62.4	-78.1	6/30/82	182	1
puffin	57.2	-170.3	6/30/82	182	2
puffin	57.2	-170.3	6/30/82	182	3
puffin	57.2	-170.3	7/1/82	184	2
puffin	57.2	-170.3	7/1/82	184	3
puffin	62.4	-78.1	7/3/82	186	1
puffin	62.4	-78.1	7/6/82	189	1
puffin	47.3	-59.5	7/8/82	191	1
puffin	48.6	-123.3	7/10/82	193	3
puffin	62.4	-78.1	7/13/82	196	1
puffin	62.4	-78.1	7/16/82	199	1
puffin	56.4	-6.3	7/16/82	199	1
puffin	62.4	-78.1	7/19/82	202	1
puffin	62.4	-78.1	7/21/82	204	1
puffin	47.3	-52.8	7/24/82	207	1
puffin	62.4	-78.1	7/25/82	208	1
puffin	48.7	-53.1	7/26/82	209	1
puffin	47.9	-124.6	7/27/82	210	3
puffin	46.9	-124.5	7/28/82	211	3
puffin	47.3	-52.8	8/1/82	214	1
puffin	48.1	-52.8	8/1/82	214	1
puffin	61.9	-65	8/1/82	214	1
puffin	47.3	-59.5	8/5/82	218	1
