COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,SERIAL DATE
hummingbird,55.3,-131.6,5/16/14,138
hummingbird,42.2,-111.3,8/19/46,232
hummingbird,40.3,-105.7,8/8/51,221
hummingbird,40.9,-124.1,6/24/53,176
hummingbird,44.1,-121.3,4/21/59,112
hummingbird,44.4,-109.0,6/26/61,178
hummingbird,37.1,-122.3,5/12/62,134
hummingbird,44.6,-123.1,5/13/62,135
hummingbird,49.2,-119.6,5/19/62,141
hummingbird,49.2,-119.6,5/20/62,142
hummingbird,49.6,-119.6,5/27/62,149
hummingbird,49.7,-119.5,7/8/62,191
hummingbird,49.5,-119.6,7/13/62,196
hummingbird,49.5,-119.6,7/14/62,197
hummingbird,49.7,-119.9,7/15/62,198
hummingbird,49.5,-119.6,7/17/62,200
hummingbird,49.5,-119.6,7/21/62,204
hummingbird,49.5,-119.6,7/23/62,206
hummingbird,27.7,-82.7,8/1/62,214
hummingbird,49.8,-123.1,8/2/62,215
hummingbird,49.3,-123.1,4/12/63,103
hummingbird,49.3,-123.1,4/13/63,104
hummingbird,49.5,-119.6,4/28/63,119
hummingbird,49.5,-119.6,5/12/63,134
hummingbird,49.0,-119.6,5/20/63,142
hummingbird,49.1,-119.6,5/20/63,142
hummingbird,49.5,-119.6,6/27/63,179
hummingbird,49.2,-119.6,7/9/63,192
hummingbird,49.7,-119.8,7/9/63,192
hummingbird,50.0,-119.7,7/14/63,197
hummingbird,43.9,-110.8,7/25/63,208
hummingbird,45.8,-121.6,6/14/64,166
hummingbird,47.9,-124.6,7/7/64,190
hummingbird,19.4,-99.2,8/29/64,242
hummingbird,41.0,-124.1,3/20/65,81
hummingbird,46.9,-124.1,7/17/65,200
hummingbird,36.8,-115.1,7/22/65,205
hummingbird,36.7,-115.2,8/10/65,223
hummingbird,36.4,-115.4,8/16/65,229
hummingbird,51.0,-118.2,6/19/66,171
hummingbird,51.4,-116.5,6/25/66,177
hummingbird,51.4,-116.5,7/1/66,184
hummingbird,51.2,-116.6,7/2/66,185
hummingbird,51.4,-116.5,7/10/66,193
hummingbird,51.5,-116.5,7/14/66,197
hummingbird,51.4,-116.5,7/16/66,199
hummingbird,51.5,-116.5,8/1/66,214
hummingbird,51.4,-116.6,8/3/66,216
hummingbird,55.3,-85.2,9/8/66,252
hummingbird,40.9,-124.1,2/13/67,43
hummingbird,34.2,-117.9,4/21/67,112
hummingbird,51.0,-118.2,5/14/67,136
hummingbird,51.4,-116.5,5/27/67,149
hummingbird,51.0,-118.2,6/4/67,156
hummingbird,51.4,-116.5,6/25/67,177
hummingbird,51.5,-116.5,7/8/67,191
hummingbird,51.3,-116.6,7/18/67,201
hummingbird,51.4,-116.4,7/22/67,205
hummingbird,51.2,-116.6,7/29/67,212
hummingbird,40.1,-105.7,7/29/67,212
