#COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,SERIAL DATE,1=Adelie // 2=Chinstrap // 3=Magellanic
penguin,-63.9,-55.3,1/30/92,30,1
penguin,-63.5,-55.9,1/29/92,29,1
penguin,-62.2,-58.9,1/19/92,19,1
penguin,-64.5,-62.8,2/1/92,31,1
penguin,-65.3,139.8,3/29/93,90,1
penguin,-65.6,147.8,4/28/93,119,1
penguin,-65.6,147.6,4/28/93,119,1
penguin,-65.6,147.6,4/28/93,119,1
penguin,-65.8,146.5,4/28/93,119,1
penguin,-65.8,146.5,4/29/93,120,1
penguin,-65.8,146.5,4/29/93,120,1
penguin,-65.8,146.5,4/29/93,120,1
penguin,-65.8,146.5,4/29/93,120,1
penguin,-65.7,146.5,4/29/93,120,1
penguin,-65.8,146.4,4/30/93,121,1
penguin,-65.8,146.4,4/30/93,121,1
penguin,-65.8,146.4,4/30/93,121,1
penguin,-65.8,146.4,4/30/93,121,1
penguin,-65.8,146.4,4/30/93,121,1
penguin,-65.8,146.4,4/30/93,121,1
penguin,-65.8,146.4,4/30/93,121,1
penguin,-65.9,146.3,4/30/93,121,1
penguin,-65.2,149.1,4/26/93,117,1
penguin,-65.1,149.1,4/27/93,118,1
penguin,-65.9,146.3,5/1/93,123,1
penguin,-65.9,146.3,5/1/93,123,1
penguin,-65.9,146.2,5/1/93,123,1
penguin,-65.9,146.2,5/1/93,123,1
penguin,-65.7,146.2,5/1/93,123,1
penguin,-64.9,146.4,5/2/93,124,1
penguin,-65.0,146.4,5/2/93,124,1
penguin,-65.2,145.8,5/2/93,124,1
penguin,-65.1,-64.0,1/3/94,3,1
penguin,-65.2,-64.2,2/28/95,58,1
penguin,-63.4,-57.0,12/9/95,344,1
penguin,-65.4,-61.5,1/1/96,1,1
penguin,-62.7,-60.6,1/13/97,13,1
penguin,-65.1,-64.0,1/12/97,12,1
penguin,-64.7,-62.6,2/18/97,48,1
penguin,-77.2,166.4,12/15/97,350,1
penguin,-77.2,166.4,12/20/97,355,1
penguin,-77.6,166.2,12/13/97,348,1
penguin,-79.1,-171.0,1/6/98,6,1
penguin,-77.2,166.4,1/10/98,10,1
penguin,-63.4,-57.9,1/31/98,31,1
penguin,-63.1,-56.1,1/30/98,30,1
penguin,-63.7,-59.1,2/1/98,31,1
penguin,-77.5,169.3,12/13/98,348,1
penguin,-77.5,169.3,12/14/98,349,1
penguin,-77.5,169.3,12/17/98,352,1
penguin,-77.5,169.3,12/18/98,353,1
penguin,-77.5,169.3,12/20/98,355,1
penguin,-77.5,169.3,12/19/98,354,1
penguin,-77.5,169.3,12/21/98,356,1
penguin,-77.5,169.3,12/22/98,357,1
penguin,-77.5,169.3,12/23/98,358,1
penguin,-77.5,169.3,12/24/98,359,1
penguin,-77.5,169.3,12/25/98,360,1
penguin,-77.5,169.3,12/26/98,361,1
penguin,-77.5,169.3,12/27/98,362,1
penguin,-77.5,169.3,12/28/98,363,1
penguin,-77.5,169.3,12/29/98,364,1
penguin,-77.5,169.3,12/30/98,365,1
penguin,-77.5,169.3,12/31/98,366,1
penguin,-77.5,169.3,1/1/99,1,1
penguin,-77.5,169.3,1/2/99,2,1
penguin,-77.5,169.3,1/4/99,4,1
penguin,-77.5,169.3,1/6/99,6,1
penguin,-77.5,169.3,1/8/99,8,1
penguin,-77.5,169.3,1/9/99,9,1
penguin,-77.5,169.3,1/10/99,10,1
penguin,-77.5,169.3,1/20/99,20,1
penguin,-77.6,166.2,12/10/99,345,1
penguin,-77.5,169.3,12/13/99,348,1
penguin,-77.0,167.0,1/28/00,28,1
penguin,-77.5,169.3,1/4/00,4,1
penguin,-77.9,166.7,1/28/00,28,1
penguin,-64.8,-63.5,2/28/00,58,1
penguin,-63.5,-56.9,3/1/00,62,1
penguin,-63.6,-55.8,3/1/00,62,1
penguin,-72.4,167.4,1/1/01,1,1
penguin,-63.0,-60.6,12/14/01,349,1
penguin,-64.1,-59.7,1/29/03,29,1
penguin,-64.1,-59.7,1/30/03,30,1
penguin,-77.8,166.7,1/14/03,14,1
penguin,-64.8,-62.6,11/17/04,322,1
penguin,-70.3,-70.9,11/20/04,325,1
penguin,-64.7,-62.6,12/26/04,361,1
penguin,-77.5,169.2,12/9/04,344,1
penguin,-77.5,169.2,1/21/05,21,1
penguin,-63.4,-57.0,2/17/05,47,1
penguin,-63.4,-57.0,3/14/05,75,1
penguin,-63.7,-56.5,3/15/05,76,1
penguin,-61.5,-50.6,3/16/05,77,1
penguin,-62.4,-59.8,3/13/05,74,1
penguin,-64.6,-63.5,12/22/05,357,1
penguin,-64.7,-62.2,12/4/05,339,1
penguin,-64.7,-62.6,12/5/05,340,1
penguin,-65.2,-64.3,12/11/05,346,1
penguin,-62.5,-59.8,12/3/05,338,1
penguin,-63.2,-56.9,1/19/06,19,1
penguin,-62.1,-57.9,1/20/06,20,1
penguin,-65.2,-64.2,2/22/06,52,1
penguin,-63.6,-55.9,12/25/06,360,1
penguin,-64.9,-62.9,1/20/07,20,1
penguin,-65.2,-64.3,1/9/07,9,1
penguin,-65.1,-64.1,1/8/07,8,1
penguin,-64.8,-62.9,1/22/07,22,1
penguin,-66.9,-66.8,1/27/07,27,1
penguin,-65.2,-64.3,1/28/07,28,1
penguin,-65.3,-64.2,1/28/07,28,1
penguin,-65.2,-64.2,1/17/07,17,1
penguin,-65.3,-64.2,1/18/07,18,1
penguin,-65.1,-64.0,1/19/07,19,1
penguin,-64.7,-62.6,1/20/07,20,1
penguin,-65.3,-64.2,1/29/07,29,1
penguin,-62.5,-60.4,12/22/07,357,1
penguin,-61.3,-50.6,1/16/08,16,1
penguin,-61.9,-58.5,1/16/08,16,1
penguin,-65.2,-64.2,2/8/08,38,1
penguin,-65.2,-64.2,2/8/08,38,1
penguin,-65.2,-64.2,11/24/08,329,1
penguin,-62.4,-59.8,11/12/08,317,1
penguin,-63.5,-56.9,11/28/08,333,1
penguin,-64.8,-62.6,11/27/08,332,1
penguin,-62.2,-58.9,12/29/08,364,1
penguin,-64.1,-56.8,1/20/09,20,1
penguin,-64.0,-56.8,1/20/09,20,1
penguin,-64.1,-56.8,1/20/09,20,1
penguin,-63.2,-53.2,1/19/09,19,1
penguin,-64.0,-56.8,1/20/09,20,1
penguin,-63.2,-53.2,1/19/09,19,1
penguin,-63.2,-53.2,1/19/09,19,1
penguin,-63.5,-53.4,1/20/09,20,1
penguin,-64.0,-56.8,1/20/09,20,1
penguin,-64.1,-56.8,1/20/09,20,1
penguin,-64.0,-56.8,1/20/09,20,1
penguin,-64.1,-56.8,1/20/09,20,1
penguin,-63.2,-53.2,1/19/09,19,1
penguin,-63.5,-53.4,1/20/09,20,1
penguin,-63.5,-56.9,1/21/09,21,1
penguin,-64.3,-56.8,1/20/09,20,1
penguin,-63.6,-55.8,1/20/09,20,1
penguin,-63.5,-56.9,1/21/09,21,1
penguin,-64.3,-56.8,1/20/09,20,1
penguin,-63.6,-55.8,1/20/09,20,1
penguin,-63.6,-55.8,1/20/09,20,1
penguin,-64.3,-56.8,1/20/09,20,1
penguin,-63.5,-56.9,1/21/09,21,1
penguin,-63.5,-56.9,1/21/09,21,1
penguin,-64.3,-56.8,1/20/09,20,1
penguin,-63.6,-55.8,1/20/09,20,1
penguin,-65.4,-63.1,11/15/09,320,1
penguin,-62.2,-58.9,12/30/09,365,1
penguin,-63.2,-56.7,12/24/09,359,1
penguin,-65.2,-64.1,1/19/10,19,1
penguin,-63.5,-56.8,1/23/10,23,1
penguin,-63.8,-57.2,1/23/10,23,1
penguin,-63.8,-57.2,1/23/10,23,1
penguin,-63.5,-56.8,1/23/10,23,1
penguin,-64.3,-56.8,1/22/10,22,1
penguin,-64.6,-62.5,1/24/10,24,1
penguin,-64.8,-64.1,1/25/10,25,1
penguin,-63.9,-56.7,1/20/10,20,1
penguin,-63.9,-56.7,1/20/10,20,1
penguin,-77.8,166.6,1/11/10,11,1
penguin,-64.6,-62.5,1/24/10,24,1
penguin,-64.8,-64.1,1/25/10,25,1
penguin,-64.8,-64.1,1/25/10,25,1
penguin,-63.8,-57.2,1/23/10,23,1
penguin,-63.5,-56.8,1/23/10,23,1
penguin,-64.6,-62.5,1/24/10,24,1
penguin,-63.6,-55.8,1/19/10,19,1
penguin,-62.6,-59.5,1/21/10,21,1
penguin,-63.7,-57.2,1/19/10,19,1
penguin,-63.7,-57.4,1/19/10,19,1
penguin,-62.3,-52.3,1/18/10,18,1
penguin,-63.9,-56.7,1/19/10,19,1
penguin,-62.3,-52.3,1/18/10,18,1
penguin,-63.7,-57.2,1/19/10,19,1
penguin,-62.6,-59.5,1/21/10,21,1
penguin,-63.7,-57.4,1/19/10,19,1
penguin,-62.6,-59.5,1/21/10,21,1
penguin,-63.7,-57.2,1/19/10,19,1
penguin,-63.7,-57.4,1/19/10,19,1
penguin,-62.3,-52.3,1/18/10,18,1
penguin,-62.1,-57.9,1/22/10,22,1
penguin,-62.1,-57.9,1/22/10,22,1
penguin,-63.6,-55.8,1/19/10,19,1
penguin,-63.5,-56.9,1/23/10,23,1
penguin,-63.5,-56.9,1/23/10,23,1
penguin,-64.3,-56.8,1/23/10,23,1
penguin,-63.4,-57.0,1/20/10,20,1
penguin,-63.5,-56.9,1/23/10,23,1
penguin,-63.4,-57.0,1/20/10,20,1
penguin,-63.6,-55.8,1/19/10,19,1
penguin,-63.6,-55.8,1/19/10,19,1
penguin,-63.4,-57.0,1/20/10,20,1
penguin,-64.3,-56.8,1/23/10,23,1
penguin,-64.3,-56.8,1/23/10,23,1
penguin,-77.8,166.6,2/11/10,41,1
penguin,-77.8,166.7,2/12/10,42,1
penguin,-63.2,-56.9,12/29/10,364,1
penguin,-65.1,-64.0,12/11/10,346,1
penguin,-62.5,-58.2,1/15/11,15,1
penguin,-77.8,166.7,1/18/11,18,1
penguin,-74.1,176.7,1/27/11,27,1
penguin,-77.6,166.0,1/19/11,19,1
penguin,-71.5,172.3,1/25/11,25,1
penguin,-73.0,173.0,1/24/11,24,1
penguin,-61.2,-45.6,1/13/11,13,1
penguin,-63.3,-57.2,1/20/11,20,1
penguin,-77.8,166.6,1/10/11,10,1
penguin,-77.8,166.7,2/19/11,49,1
penguin,-72.8,174.0,2/8/11,38,1
penguin,-77.3,170.2,2/21/11,51,1
penguin,-77.6,166.2,2/25/11,55,1
penguin,-77.6,166.4,2/25/11,55,1
penguin,-77.2,166.4,2/26/11,56,1
penguin,-77.8,166.6,2/27/11,57,1
penguin,-63.6,-55.8,2/8/11,38,1
penguin,-75.0,-47.3,11/14/11,319,1
penguin,-64.2,-61.2,11/17/11,322,1
penguin,-64.6,-63.5,11/16/11,321,1
penguin,-77.8,166.7,1/2/12,2,1
penguin,-66.0,-65.5,1/22/12,22,1
penguin,-77.8,166.7,1/3/12,3,1
penguin,-77.8,166.7,1/3/12,3,1
penguin,-63.6,-55.8,1/22/12,22,1
penguin,-65.1,-64.1,3/25/12,86,1
penguin,-51.7,-57.8,1/16/08,16,1
penguin,-42.4,173.7,12/30/92,365,1
penguin,-75.6,-178.2,1/22/11,22,1
penguin,-62.6,-59.9,1/31/92,31,2
penguin,-63.5,-55.9,1/29/92,29,2
penguin,-62.2,-58.9,1/19/92,19,2
penguin,-64.5,-62.8,2/1/92,31,2
penguin,-64.9,-63.4,2/2/92,32,2
penguin,-62.1,-58.1,2/3/92,33,2
penguin,-65.1,-64.0,1/3/94,3,2
