COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE
owl	51.3	3.1	11/25/08	330
owl	51.3	3.1	12/5/08	340
owl	52.5	-113.7	1/8/97	8
owl	52.5	-113.8	5/14/11	136
owl	52.3	-113.3	2/12/12	42
owl	52.3	-113.8	11/17/12	322
owl	52.3	-113.8	11/17/12	322
owl	52.3	-113.8	11/17/12	322
owl	52.3	-113.8	11/17/12	322
owl	52.3	-113.8	11/17/12	322
owl	53.7	-113.2	3/1/98	62
owl	53.6	-113.6	3/1/98	62
owl	53.9	-113.7	3/1/98	62
owl	53.4	-113.7	1/12/99	12
owl	53.8	-113.3	3/16/99	77
owl	53.7	-113.6	11/20/04	325
owl	53.6	-113.6	1/15/05	15
owl	53.8	-113.3	1/23/05	23
owl	53.8	-113.3	1/8/05	8
owl	53.8	-113.3	1/31/05	31
owl	53.7	-113.8	1/15/05	15
owl	53.7	-113.1	2/24/05	54
owl	53.8	-113.3	2/22/05	52
owl	53.8	-113.3	2/13/05	43
owl	53.8	-113.3	2/8/05	38
owl	53.6	-113.6	2/8/05	38
owl	53.8	-113.3	2/4/05	34
owl	53.8	-113.3	2/1/05	31
owl	53.8	-113.3	3/2/05	63
owl	53.8	-113.7	3/1/05	62
owl	53.8	-113.3	11/28/05	333
owl	53.8	-113.5	11/26/05	331
owl	53.6	-113.6	12/6/05	341
owl	53.7	-113.1	1/29/06	29
owl	53.8	-113.7	1/24/06	24
owl	53.6	-113.6	1/14/06	14
owl	53.8	-113.7	1/22/06	22
owl	53.6	-113.6	2/6/06	36
owl	53.8	-113.5	3/5/06	66
owl	53.7	-113.1	3/27/06	88
owl	53.8	-113.3	11/20/06	325
owl	53.8	-113.3	11/16/06	321
owl	53.6	-113.6	11/3/06	308
owl	53.7	-113.1	12/23/06	358
owl	53.7	-113.1	12/21/06	356
owl	53.7	-113.1	12/28/06	363
owl	53.7	-113.1	12/24/06	359
owl	53.7	-113.1	12/1/06	336
owl	53.7	-113.1	12/16/06	351
owl	53.7	-113.1	12/31/06	366
owl	53.3	-113.6	1/13/07	13
owl	53.7	-113.8	1/21/07	21
owl	53.7	-113.1	1/7/07	7
owl	53.7	-113.1	1/27/07	27
owl	53.7	-113.1	1/14/07	14
owl	53.7	-113.1	1/12/07	12
owl	53.7	-113.1	1/1/07	1
owl	53.7	-113.1	1/26/07	26
owl	53.7	-113.1	2/9/07	39
owl	53.8	-113.7	2/7/07	37
owl	53.7	-113.1	2/4/07	34
owl	53.7	-113.1	2/3/07	33
owl	53.9	-113.7	2/18/07	48
owl	53.7	-113.1	3/28/07	89
owl	53.7	-113.1	12/28/07	363
owl	53.7	-113.1	12/27/07	362
owl	53.7	-113.1	12/24/07	359
owl	53.7	-113.1	12/23/07	358
owl	53.6	-113.6	12/10/07	345
owl	53.8	-113.3	12/7/07	342
owl	53.8	-113.7	1/13/08	13
owl	53.8	-113.7	3/7/08	68
owl	53.0	-113.1	3/16/08	77
owl	53.7	-113.1	12/30/08	365
owl	53.8	-113.3	12/24/08	359
owl	53.8	-113.3	12/18/08	353
owl	53.8	-113.3	12/8/08	343
owl	53.8	-113.3	1/31/09	31
owl	53.8	-113.3	1/7/09	7
owl	53.8	-113.3	2/1/09	31
owl	53.8	-113.7	2/22/09	52
owl	53.8	-113.5	2/15/09	45
owl	53.8	-113.3	3/11/09	72
owl	53.6	-113.6	3/11/09	72
owl	53.0	-113.1	3/28/09	89
owl	53.0	-113.1	3/20/09	81
owl	53.7	-113.6	3/29/09	90
owl	53.7	-113.1	4/5/09	96
owl	53.6	-113.6	11/13/09	318
owl	53.8	-113.3	11/24/09	329
owl	53.7	-113.1	12/28/09	363
owl	53.7	-113.1	12/24/09	359
owl	53.8	-113.7	12/13/09	348
owl	53.9	-113.7	12/19/09	354
owl	53.9	-113.7	1/16/10	16
owl	53.7	-113.1	2/21/10	51
owl	53.7	-113.3	2/20/10	50
owl	53.0	-113.1	3/28/10	89
owl	53.0	-113.1	3/21/10	82
owl	53.7	-113.1	3/6/10	67
owl	53.7	-113.1	3/6/10	67
owl	53.7	-113.1	12/18/10	353
