COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE	1=Blue-and-yellow // 2=Blue-headed // 3=
macaw	15.2	-87.5	12/20/32	355	11
macaw	15.5	-86.4	6/28/50	180	11
macaw	13.4	-87.1	10/7/62	281	11
macaw	13.4	-87.1	10/9/62	283	11
macaw	16.9	-91.0	7/6/63	189	11
macaw	21.5	-105.3	5/22/71	144	7
macaw	-9.2	-75.9	6/8/72	160	2
macaw	-9.2	-75.9	9/27/72	271	7
macaw	-4.3	-70.2	8/23/73	236	9
macaw	23.4	-105.9	12/21/73	356	7
macaw	-4.0	-70.1	5/18/74	140	4
macaw	-4.2	-70.0	7/3/74	186	11
macaw	-4.0	-70.1	7/5/74	188	11
macaw	-4.1	-70.1	7/6/74	189	11
macaw	-4.0	-70.1	8/9/74	222	1
macaw	-4.0	-70.1	10/24/74	298	9
macaw	-4.0	-70.1	11/11/74	316	9
macaw	-4.0	-70.1	11/12/74	317	1
macaw	-4.0	-70.1	11/13/74	318	9
macaw	-0.5	-77.0	2/17/75	47	4
macaw	-4.0	-70.1	5/21/75	143	4
macaw	-4.0	-70.1	5/21/75	143	8
macaw	-4.0	-70.1	5/28/75	150	1
macaw	-4.0	-70.1	5/28/75	150	4
macaw	-4.0	-70.1	5/29/75	151	4
macaw	-4.0	-70.1	5/29/75	151	8
macaw	-4.0	-70.1	6/2/75	154	4
macaw	-4.0	-70.1	6/4/75	156	4
macaw	-4.0	-70.1	6/5/75	157	4
macaw	-4.0	-70.1	6/5/75	157	11
macaw	-4.0	-70.1	6/6/75	158	4
macaw	-4.0	-70.1	6/8/75	160	4
macaw	-4.0	-70.1	6/11/75	163	4
macaw	-4.0	-70.1	6/14/75	166	4
macaw	-4.0	-70.1	6/16/75	168	4
macaw	-4.0	-70.1	6/17/75	169	4
macaw	-4.0	-70.1	6/19/75	171	4
macaw	-4.0	-70.1	6/24/75	176	4
macaw	-4.0	-70.1	6/24/75	176	11
macaw	-4.1	-70.0	7/15/75	198	9
macaw	-4.1	-70.0	7/15/75	198	9
macaw	-4.1	-70.0	7/15/75	198	9
macaw	-4.0	-70.1	7/16/75	199	1
macaw	-4.0	-70.1	7/16/75	199	1
macaw	-4.0	-70.1	7/16/75	199	1
macaw	-4.1	-70.1	7/16/75	199	1
macaw	-4.1	-70.1	7/16/75	199	1
macaw	-4.1	-70.1	7/16/75	199	1
macaw	-4.1	-70.1	7/16/75	199	8
macaw	-4.1	-70.1	7/16/75	199	8
macaw	-4.1	-70.1	7/16/75	199	8
macaw	-4.0	-70.1	7/17/75	200	1
macaw	-4.0	-70.1	7/17/75	200	1
macaw	-4.0	-70.1	7/17/75	200	1
macaw	-4.0	-70.1	7/17/75	200	11
macaw	-4.0	-70.1	7/17/75	200	11
macaw	-4.0	-70.1	7/17/75	200	11
macaw	-4.3	-70.2	7/22/75	205	1
macaw	-4.3	-70.2	7/22/75	205	4
macaw	-4.0	-70.1	7/31/75	214	1
macaw	-4.0	-70.1	7/31/75	214	9
macaw	-11.9	-71.4	8/27/75	240	1
