COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	#SERIAL DATE
bee	24.3	52.6	5/2/91	124
bee	24.5	54.4	8/31/92	244
bee	24.5	54.4	9/23/92	267
bee	24.5	54.4	9/28/92	272
bee	24.5	54.4	9/5/92	249
bee	24.5	54.4	9/24/92	268
bee	24.4	54.4	9/10/92	254
bee	24.5	54.4	9/18/92	262
bee	24.2	54.7	9/24/92	268
bee	24.5	54.4	4/6/93	97
bee	24.5	54.4	4/15/93	106
bee	24.4	54.4	4/19/93	110
bee	24.5	54.4	4/17/93	108
bee	24.2	54.7	4/16/93	107
bee	24.5	54.4	9/25/93	269
bee	24.5	54.4	9/18/93	262
bee	24.5	54.4	9/12/93	256
bee	24.5	54.4	9/2/93	246
bee	24.5	54.4	9/9/93	253
bee	24.5	54.4	10/2/93	276
bee	24.5	54.4	4/29/94	120
bee	24.4	54.4	4/24/94	115
bee	24.3	52.6	4/8/94	99
bee	24.5	54.4	8/30/94	243
bee	24.5	54.3	8/27/94	240
bee	24.2	54.7	8/26/94	239
bee	24.5	54.4	8/26/94	239
bee	24.5	54.3	9/16/94	260
bee	24.4	54.4	9/16/94	260
bee	24.5	54.4	9/16/94	260
bee	24.4	54.4	9/12/94	256
bee	24.5	54.3	9/7/94	251
bee	24.4	54.4	9/30/94	274
bee	24.5	54.4	10/20/94	294
bee	24.5	54.3	10/9/94	283
bee	24.4	54.4	10/7/94	281
bee	24.2	54.7	4/27/95	118
bee	24.2	54.7	4/14/95	105
bee	24.4	54.4	9/26/95	270
bee	24.5	54.4	9/18/95	262
bee	24.2	54.7	9/15/95	259
bee	24.5	54.4	9/23/95	267
bee	24.2	54.7	9/22/95	266
bee	24.5	54.4	9/13/95	257
bee	24.5	54.4	9/6/95	250
bee	24.1	55.8	4/19/96	110
bee	24.2	54.7	4/5/96	96
bee	24.2	52.6	5/3/96	125
bee	24.4	54.4	9/20/96	264
bee	24.5	54.4	9/20/96	264
bee	24.4	54.4	9/15/96	259
bee	24.5	54.3	9/13/96	257
bee	24.4	54.4	3/28/97	89
bee	25.2	52.9	4/11/97	102
bee	24.4	54.4	4/11/97	102
bee	24.5	54.4	4/10/97	101
bee	24.4	54.3	4/20/97	111
bee	24.5	54.4	4/15/97	106
bee	25.2	52.9	4/15/97	106
bee	24.5	54.3	4/14/97	105
bee	24.5	54.4	4/8/97	99
bee	24.5	54.4	10/30/97	304
bee	24.5	54.3	10/29/97	303
bee	24.4	54.4	10/23/97	297
bee	24.5	54.3	3/18/98	79
bee	24.2	52.6	4/8/98	99
bee	24.1	52.7	4/7/98	98
bee	24.1	52.7	4/10/98	101
bee	24.2	51.7	4/9/98	100
bee	24.4	54.4	8/30/98	243
bee	24.5	54.3	9/4/98	248
bee	24.2	54.7	4/16/99	107
bee	24.4	54.4	4/16/99	107
bee	24.2	54.7	4/22/99	113
bee	24.5	54.3	4/14/99	105
bee	24.5	54.3	5/6/99	128
bee	24.5	54.3	9/9/99	253
bee	24.5	54.3	9/30/99	274
bee	24.2	54.7	9/24/99	268
bee	24.5	54.3	9/23/99	267
bee	24.2	54.7	9/17/99	261
bee	24.9	54.9	4/15/03	106
bee	24.4	54.5	4/21/04	112
bee	24.2	54.7	4/30/04	121
bee	24.2	54.7	4/23/04	114
bee	23.5	53.7	4/29/04	120
bee	24.2	54.7	4/16/04	107
bee	24.4	54.5	5/26/04	148
bee	24.4	54.4	9/19/04	263
bee	24.5	54.3	9/28/04	272
bee	24.5	54.3	9/19/04	263
bee	24.2	52.6	4/30/05	121
bee	24.2	52.6	4/30/05	121
bee	24.2	52.6	4/30/05	121
bee	24.2	52.6	5/2/05	124
bee	24.2	52.6	5/2/05	124
bee	24.4	54.4	5/8/05	130
bee	24.2	55.7	10/6/05	280
bee	24.4	54.4	4/8/06	99
bee	24.2	54.7	4/14/06	105
bee	24.5	54.3	4/13/06	104
bee	24.1	55.8	4/6/06	97
bee	24.5	54.3	4/27/06	118
bee	24.5	54.3	4/9/06	100
bee	24.1	55.7	4/15/06	106
bee	24.5	54.3	4/5/06	96
bee	24.4	54.4	4/25/06	116
bee	24.1	53.5	4/21/06	112
bee	24.1	55.7	4/14/06	105
bee	24.4	54.4	4/24/06	115
bee	24.2	52.6	4/23/06	114
bee	24.4	54.4	4/26/06	117
bee	24.5	54.3	4/4/06	95
bee	24.1	55.7	4/16/06	107
bee	24.7	54.7	4/7/06	98
bee	24.9	54.9	4/2/06	93
bee	24.5	54.3	5/4/06	126
bee	24.9	54.9	5/7/06	129
bee	24.4	54.4	8/30/06	243
bee	24.2	55.7	8/28/06	241
bee	24.1	55.8	9/22/06	266
bee	24.1	55.8	9/22/06	266
bee	24.1	55.8	9/22/06	266
bee	24.5	54.3	9/8/06	252
bee	24.1	55.8	9/8/06	252
