COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE
Ringed Kingfisher	-24.7318372	-65.485438	8/8/04
Ringed Kingfisher	-24.7318372	-65.485438	8/8/04
Ringed Kingfisher	-24.7318372	-65.485438	8/8/04
Ringed Kingfisher	-25.799987	-64.966672	11/14/08
Ringed Kingfisher	-25.799987	-64.966672	11/14/08
Ringed Kingfisher	-25.799987	-64.966672	11/14/08
Ringed Kingfisher	-25.799987	-64.966672	11/14/08
Ringed Kingfisher	-25.2859899	-65.3988647	3/12/10
Ringed Kingfisher	-24.9012734	-64.4152248	8/29/11
Ringed Kingfisher	-24.9012734	-64.4152248	8/22/11
Ringed Kingfisher	-36.0188495	-58.0476986	4/26/86
Ringed Kingfisher	-34.419372	-58.5653687	1/23/92
Ringed Kingfisher	-35.5777669	-58.00238	11/28/92
Ringed Kingfisher	-35.5679805	-58.1176758	11/29/99
Ringed Kingfisher	-34.4693445	-58.494966	10/13/02
Ringed Kingfisher	-34.2119441	-58.8911819	1/29/03
Ringed Kingfisher	-34.19895	-58.8817833	5/31/03
Ringed Kingfisher	-36.3072751	-56.7622375	6/8/03
Ringed Kingfisher	-34.4693445	-58.494966	8/10/03
Ringed Kingfisher	-34.19895	-58.8817833	11/8/03
Ringed Kingfisher	-34.19895	-58.8817833	12/7/03
Ringed Kingfisher	-33.9325362	-60.986824	2/13/04
Ringed Kingfisher	-34.19895	-58.8817833	3/14/04
Ringed Kingfisher	-34.5289263	-58.45716	6/20/05
Ringed Kingfisher	-34.1910738	-58.8939285	9/19/10
Ringed Kingfisher	-34.2397277	-59.4745517	9/10/10
Ringed Kingfisher	-34.4697227	-58.497	5/19/11
Ringed Kingfisher	-35.784	-57.399	1/31/12
Ringed Kingfisher	-35.022738	-57.9541935	9/3/12
Ringed Kingfisher	-34.6082039	-58.3539677	5/2/04
Ringed Kingfisher	-34.5805252	-58.3670233	1/9/11
Ringed Kingfisher	-32.3705329	-60.3419807	8/13/74
Ringed Kingfisher	-31.3712266	-57.9933929	9/26/87
Ringed Kingfisher	-31.3712266	-57.9933929	9/20/87
Ringed Kingfisher	-31.3712266	-57.9933929	10/3/87
Ringed Kingfisher	-31.3712266	-57.9933929	10/17/87
Ringed Kingfisher	-30.9552356	-58.7796021	10/17/87
Ringed Kingfisher	-31.9789171	-58.2985174	11/1/87
Ringed Kingfisher	-31.3712266	-57.9933929	12/5/87
Ringed Kingfisher	-33.4970651	-58.7481022	1/4/03
Ringed Kingfisher	-33.4970651	-58.7481022	11/8/03
Ringed Kingfisher	-33.4970651	-58.7481022	5/1/04
Ringed Kingfisher	-33.6077571	-58.7686157	4/16/05
Ringed Kingfisher	-32.121891	-60.6327832	11/15/06
Ringed Kingfisher	-32.2159599	-58.136344	7/8/10
