#SPECIES,#LATITUDE,#LONGITUDE,#OBSERVATION DATE,#SERIAL DATE,#HEX CODE
dodo,0,0,1,1,0x88838B8B
dodo,5,10,2,2,0x88838B8B
dodo,10,20,3,3,0x88838B8B
dodo,15,30,4,4,0x88838B8B
dodo,20,40,5,5,0x88838B8B
dodo,25,50,6,6,0x88838B8B
dodo,30,60,7,7,0x88838B8B
dodo,35,70,8,8,0x88838B8B
dodo,40,80,9,9,0x88838B8B
dodo,45,90,10,10,0x88838B8B
dodo,50,100,11,11,0x88838B8B
dodo,55,110,12,12,0x88838B8B
dodo,60,120,13,13,0x88838B8B
dodo,65,130,14,14,0x88838B8B
dodo,70,140,15,15,0x88838B8B
dodo,75,150,16,16,0x88838B8B
dodo,80,160,17,17,0x88838B8B
dodo,85,170,18,18,0x88838B8B
dodo,90,180,19,19,0x88838B8B
dodo,-30,70,3,3,0x88838B8B
dodo,-25,60,2,2,0x88838B8B
dodo,-170,90,4,4,0x88838B8B
dodo,-90,-45,5,5,0x88838B8B
