#COMMON NAME,#LATITUDE,#LONGITUDE,#OBSERVATION DATE,#DAY SERIAL NUMBER
penguin,-63.9180583,-55.2612305,1/22/91,22
penguin,-63.5485522,-55.8984375,1/29/92,29
penguin,-62.1860139,-58.8977051,1/19/92,19
penguin,-64.5295482,-62.7539063,2/1/92,31
penguin,-65.2833,139.8,3/29/93,90
penguin,-65.6406,147.8348,4/28/93,119
penguin,-65.5867,147.6116,4/28/93,119
penguin,-65.5744,147.5936,4/28/93,119
penguin,-65.794,146.5196,4/28/93,119
penguin,-65.7892,146.5271,4/29/93,120
penguin,-65.7822,146.5334,4/29/93,120
penguin,-65.763,146.5245,4/29/93,120
penguin,-65.7538,146.511,4/29/93,120
penguin,-65.746,146.4951,4/29/93,120
penguin,-65.773,146.423,4/30/93,121
penguin,-65.7885,146.4439,4/30/93,121
penguin,-65.7772,146.4237,4/30/93,121
penguin,-65.7813,146.4252,4/30/93,121
penguin,-65.8006,146.4233,4/30/93,121
penguin,-65.8262,146.4234,4/30/93,121
penguin,-65.8478,146.4414,4/30/93,121
penguin,-65.9119,146.2755,4/30/93,121
penguin,-65.1606,149.0503,4/26/93,117
penguin,-65.0992,149.1034,4/27/93,118
penguin,-65.9136,146.2731,5/1/93,123
penguin,-65.9146,146.2593,5/1/93,123
penguin,-65.9145,146.2461,5/1/93,123
penguin,-65.8821,146.2365,5/1/93,123
penguin,-65.7225,146.2297,5/1/93,123
penguin,-64.9326,146.4164,5/2/93,124
penguin,-64.9563,146.3931,5/2/93,124
penguin,-65.1555,145.7637,5/2/93,124
penguin,-65.0920916,-63.9701271,1/3/94,3
penguin,-65.166667,-64.166667,2/28/95,58
penguin,-63.395827,-57.0066833,12/9/95,344
penguin,-65.3982296,-61.5234395,1/1/96,1
penguin,-62.6552081,-60.6139832,1/13/97,13
penguin,-65.0920916,-63.9701271,1/12/97,12
penguin,-64.6833333,-62.6333333,2/18/97,48
penguin,-77.2165881,166.4376556,12/15/97,350
penguin,-77.2165881,166.4376556,12/20/97,355
penguin,-77.5539733,166.2281003,12/13/97,348
penguin,-79.1050862,-171.0351563,1/6/98,6
penguin,-77.2165881,166.4376556,1/10/98,10
penguin,-63.4210307,-57.9418945,1/31/98,31
penguin,-63.1345032,-56.0742188,1/30/98,30
penguin,-63.6706335,-59.0734863,2/1/98,31
penguin,-77.4611758,169.2832041,12/13/98,348
penguin,-77.4611758,169.2832041,12/14/98,349
penguin,-77.4611758,169.2832041,12/17/98,352
penguin,-77.4611758,169.2832041,12/18/98,353
penguin,-77.4611758,169.2832041,12/20/98,355
penguin,-77.4611758,169.2832041,12/19/98,354
penguin,-77.4611758,169.2832041,12/21/98,356
penguin,-77.4611758,169.2832041,12/22/98,357
penguin,-77.4611758,169.2832041,12/23/98,358
penguin,-77.4611758,169.2832041,12/24/98,359
penguin,-77.4611758,169.2832041,12/25/98,360
penguin,-77.4611758,169.2832041,12/26/98,361
penguin,-77.4611758,169.2832041,12/27/98,362
penguin,-77.4611758,169.2832041,12/28/98,363
penguin,-77.4611758,169.2832041,12/29/98,364
penguin,-77.4611758,169.2832041,12/30/98,365
penguin,-77.4611758,169.2832041,12/31/98,366
penguin,-77.4611758,169.2832041,1/1/99,1
penguin,-77.4611758,169.2832041,1/2/99,2
penguin,-77.4611758,169.2832041,1/4/99,4
penguin,-77.4611758,169.2832041,1/6/99,6
penguin,-77.4611758,169.2832041,1/8/99,8
penguin,-77.4611758,169.2832041,1/9/99,9
penguin,-77.4611758,169.2832041,1/10/99,10
penguin,-77.4611758,169.2832041,1/20/99,20
penguin,-77.5539733,166.2281003,12/10/99,345
penguin,-77.4611758,169.2832041,12/13/99,348
penguin,-76.9576726,166.9571541,1/28/00,28
penguin,-77.4611758,169.2832041,1/4/00,4
penguin,-77.879,166.729,1/28/00,28
penguin,-64.8184173,-63.480116,2/28/00,58
penguin,-63.5191747,-56.8700409,3/1/00,62
penguin,-63.57381,-55.78613,3/1/00,62
penguin,-72.446113,167.378695,1/1/01,1
penguin,-62.9627151,-60.6280518,12/14/01,349
penguin,-64.1297837,-59.6777344,1/29/03,29
penguin,-64.1297837,-59.6777344,1/30/03,30
penguin,-77.8338889,166.6672222,1/14/03,14
penguin,-64.8333333,-62.55,11/17/04,322
penguin,-70.2519444,-70.9107854,11/20/04,325
penguin,-64.6776749,-62.6021576,12/26/04,361
penguin,-77.4546983,169.2406082,12/9/04,344
penguin,-77.4546983,169.2406082,1/21/05,21
penguin,-63.395827,-57.0066833,2/17/05,47
penguin,-63.3890613,-56.953125,3/14/05,75
penguin,-63.7047224,-56.5356445,3/15/05,76
penguin,-61.4807595,-50.625,3/16/05,77
penguin,-62.3738173,-59.7738647,3/13/05,74
penguin,-64.6321155,-63.4899902,12/22/05,357
penguin,-64.6605205,-62.1715645,12/4/05,339
penguin,-64.6776749,-62.6021576,12/5/05,340
penguin,-65.2423016,-64.2594359,12/11/05,346
penguin,-62.5320023,-59.7793579,12/3/05,338
penguin,-63.2016667,-56.915,1/19/06,19
penguin,-62.0987419,-57.8979492,1/20/06,20
penguin,-65.1672682,-64.1604815,2/22/06,52
penguin,-63.6267446,-55.8984375,12/25/06,360
penguin,-64.8833333,-62.8666667,1/20/07,20
penguin,-65.2423016,-64.2594359,1/9/07,9
penguin,-65.1034144,-64.0548632,1/8/07,8
penguin,-64.848937,-62.919491,1/22/07,22
penguin,-66.8645085,-66.8192261,1/27/07,27
penguin,-65.2423016,-64.2594359,1/28/07,28
penguin,-65.257485,-64.2463176,1/28/07,28
penguin,-65.1678202,-64.1529358,1/17/07,17
penguin,-65.257485,-64.2463176,1/18/07,18
penguin,-65.0690036,-64.0082397,1/19/07,19
penguin,-64.6910965,-62.6207866,1/20/07,20
penguin,-65.257485,-64.2463176,1/29/07,29
penguin,-62.5427274,-60.4467773,12/22/07,357
penguin,-61.2702328,-50.625,1/16/08,16
penguin,-61.85,-58.467,1/16/08,16
penguin,-65.1666667,-64.1666667,2/8/08,38
penguin,-65.2333333,-64.15,2/8/08,38
penguin,-65.1784185,-64.1519165,11/24/08,329
penguin,-62.3851183,-59.7748947,11/12/08,317
penguin,-63.5191747,-56.8700409,11/28/08,333
penguin,-64.8333333,-62.55,11/27/08,332
penguin,-62.1860139,-58.8977051,12/29/08,364
penguin,-64.0607,-56.81044,1/20/09,20
penguin,-64.00319,-56.76287,1/20/09,20
penguin,-64.0607,-56.81044,1/20/09,20
penguin,-63.15828,-53.23552,1/19/09,19
penguin,-64.00319,-56.76287,1/20/09,20
penguin,-63.15828,-53.23552,1/19/09,19
penguin,-63.15828,-53.23552,1/19/09,19
penguin,-63.54526,-53.38445,1/20/09,20
penguin,-64.00319,-56.76287,1/20/09,20
penguin,-64.0607,-56.81044,1/20/09,20
penguin,-64.00319,-56.76287,1/20/09,20
penguin,-64.0607,-56.81044,1/20/09,20
penguin,-63.15828,-53.23552,1/19/09,19
penguin,-63.54526,-53.38445,1/20/09,20
penguin,-63.51722,-56.87012,1/21/09,21
penguin,-64.2990827,-56.7831116,1/20/09,20
penguin,-63.57381,-55.78613,1/20/09,20
penguin,-63.51722,-56.87012,1/21/09,21
penguin,-64.2990827,-56.7831116,1/20/09,20
penguin,-63.57381,-55.78613,1/20/09,20
penguin,-63.57381,-55.78613,1/20/09,20
penguin,-64.2990827,-56.7831116,1/20/09,20
penguin,-63.51722,-56.87012,1/21/09,21
penguin,-63.51722,-56.87012,1/21/09,21
penguin,-64.2990827,-56.7831116,1/20/09,20
penguin,-63.57381,-55.78613,1/20/09,20
penguin,-65.3747992,-63.1054832,11/15/09,320
penguin,-62.1860139,-58.8977051,12/30/09,365
penguin,-63.1642761,-56.6674805,12/24/09,359
penguin,-65.166886,-64.1381836,1/19/10,19
